Geneid	MK_rep2
MSTRG.187.4	0
MSTRG.187.5	0
MSTRG.184.1	0
MSTRG.189.1	1
MSTRG.191.1	754
MSTRG.192.1	11114
NM_007984	0
MSTRG.197.1	147
MSTRG.198.1	93
NR_040686	0
NR_040429	0
MSTRG.201.1	0
MSTRG.202.1	0
MSTRG.203.1	13
MSTRG.147.1	0
MSTRG.157.1	0
MSTRG.157.2	468
MSTRG.161.1	856
MSTRG.163.1	41
NM_011741	2
NM_007942	0
NM_001312875	0
NM_028753	0
MSTRG.167.2	0
MSTRG.167.1	0
MSTRG.167.3	0
NM_010312	7
NR_105846	0
MSTRG.186.1	1
MSTRG.186.2	0
MSTRG.186.3	0
NM_001122730	0
NM_178242	0
MSTRG.180.1	0
MSTRG.171.1	1
MSTRG.173.1	0
MSTRG.174.1	0
MSTRG.177.1	6
NM_001033312	9
NM_007393	7
MSTRG.194.1	0
MSTRG.195.1	16
NM_207110	0
NM_080561	0
NR_102383	0
NR_102384	0
NM_001313894	6
NM_010439	0
NR_015478	0
NM_133933	0
MSTRG.199.1	0
MSTRG.204.1	0
MSTRG.208.1	0
MSTRG.209.1	0
MSTRG.210.1	9
MSTRG.211.1	0
MSTRG.212.1	0
MSTRG.213.1	1
MSTRG.214.1	0
MSTRG.215.1	1
MSTRG.215.2	0
MSTRG.215.3	0
NM_008090	2
NM_019964	0
MSTRG.223.1	14
MSTRG.206.1	41
NR_105795	0
MSTRG.216.1	0
MSTRG.221.1	1015
NM_023060	0
MSTRG.217.1	0
MSTRG.219.1	0
MSTRG.229.2	1
MSTRG.229.1	994
MSTRG.225.1	0
MSTRG.227.1	5
MSTRG.231.1	0
MSTRG.231.2	0
NM_013616	0
NM_147119	0
MSTRG.218.1	0
NM_146821	0
NM_147098	0
NM_013621	0
NM_013620	0
NM_013619	0
NM_016956	0
NM_001278161	7
NM_001127686	0
NM_008219	0
NM_008221	0
NM_013618	0
NM_013617	0
MSTRG.234.1	2
MSTRG.235.1	0
MSTRG.232.1	0
MSTRG.237.1	0
MSTRG.238.1	0
MSTRG.239.1	0
MSTRG.240.1	0
NM_133224	0
NM_198101	0
NM_020028	0
NM_001024954	0
MSTRG.242.1	1
MSTRG.248.1	0
MSTRG.248.2	2
MSTRG.255.1	73
NM_032004	23
MSTRG.258.1	3
MSTRG.258.3	0
MSTRG.258.2	0
MSTRG.258.4	0
MSTRG.259.1	0
MSTRG.263.1	4
NM_026014	2
MSTRG.270.1	381
MSTRG.272.1	0
MSTRG.272.2	10
MSTRG.273.2	0
MSTRG.273.1	0
NM_021502	0
MSTRG.276.1	0
MSTRG.280.1	207
MSTRG.280.2	0
MSTRG.280.3	0
MSTRG.278.1	0
NM_144932	0
NM_001200023	0
NM_177899	3
MSTRG.244.1	22
MSTRG.244.3	0
MSTRG.244.2	0
MSTRG.244.4	0
MSTRG.245.1	9
MSTRG.249.2	0
MSTRG.249.1	0
MSTRG.249.3	0
MSTRG.251.2	0
MSTRG.251.1	0
MSTRG.253.1	0
MSTRG.246.1	1
MSTRG.246.2	0
NM_026818	1
NM_023312	0
NM_001113346	0
NM_145596	0
NM_001286450	0
NM_001037298	13
MSTRG.264.1	0
MSTRG.265.1	0
MSTRG.260.1	0
MSTRG.261.1	0
MSTRG.266.1	156
MSTRG.268.1	337
NM_009698	0
MSTRG.269.1	0
NM_016722	0
NM_001193645	0
MSTRG.275.1	0
NM_001007462	2
NR_105821	0
