Geneid	G1E_rep2
NM_001003947	0
MSTRG.155.1	0
MSTRG.155.3	0
NM_009141	2
NM_023785	0
NM_019932	3
NM_203320	1
NM_011339	0
MSTRG.162.1	0
MSTRG.166.1	3043
NM_031408	230
MSTRG.169.1	39464
NM_031404	7
NM_015799	0
NM_001289509	0
NM_001289511	0
NM_001289507	2
MSTRG.179.1	2118
MSTRG.172.1	17
MSTRG.175.1	47
MSTRG.176.1	63
MSTRG.183.1	459
MSTRG.181.1	140
MSTRG.182.1	620
MSTRG.187.1	363
MSTRG.187.3	2
MSTRG.187.2	0
MSTRG.187.4	5
MSTRG.187.5	25
MSTRG.184.1	1
MSTRG.189.1	9
MSTRG.191.1	37329
MSTRG.192.1	188296
NM_007984	0
MSTRG.197.1	1591
MSTRG.198.1	6473
NR_040686	0
NR_040429	0
MSTRG.201.1	36
MSTRG.202.1	79
MSTRG.203.1	22268
MSTRG.147.1	0
MSTRG.157.1	0
MSTRG.157.2	37
MSTRG.161.1	160
MSTRG.163.1	42
NM_011741	1
NM_007942	0
NM_001312875	0
NM_028753	13
MSTRG.167.2	86
MSTRG.167.1	0
MSTRG.167.3	0
NM_010312	18
NR_105846	0
MSTRG.186.1	54
MSTRG.186.2	4
MSTRG.186.3	0
NM_001122730	0
NM_178242	0
MSTRG.180.1	7
MSTRG.171.1	133
MSTRG.173.1	20
MSTRG.174.1	13
MSTRG.177.1	0
NM_001033312	0
NM_007393	133
MSTRG.194.1	0
MSTRG.195.1	0
NM_207110	0
NM_080561	0
NR_102383	0
NR_102384	0
NM_001313894	0
NM_010439	2
NR_015478	0
NM_133933	6
MSTRG.199.1	8
MSTRG.204.1	35
MSTRG.208.1	14
MSTRG.209.1	28
MSTRG.210.1	24
MSTRG.211.1	18
MSTRG.212.1	37
MSTRG.213.1	32
MSTRG.214.1	376
MSTRG.215.1	702
MSTRG.215.2	15
MSTRG.215.3	11
NM_008090	224
NM_019964	0
MSTRG.223.1	3146
MSTRG.206.1	2847
NR_105795	6
MSTRG.216.1	48
MSTRG.221.1	233798
NM_023060	0
MSTRG.217.1	0
MSTRG.219.1	12
MSTRG.229.2	49
MSTRG.229.1	7074
MSTRG.225.1	0
MSTRG.227.1	5
MSTRG.231.1	0
MSTRG.231.2	0
NM_013616	0
NM_147119	0
MSTRG.218.1	599
NM_146821	0
NM_147098	0
NM_013621	0
NM_013620	0
NM_013619	0
NM_016956	0
NM_001278161	8
NM_001127686	0
NM_008219	0
NM_008221	0
NM_013618	0
NM_013617	0
MSTRG.234.1	36
MSTRG.235.1	71
MSTRG.232.1	12
MSTRG.237.1	292
MSTRG.238.1	241
MSTRG.239.1	55
MSTRG.240.1	2
NM_133224	15
NM_198101	15
NM_020028	2
NM_001024954	0
MSTRG.242.1	0
MSTRG.248.1	0
MSTRG.248.2	13
MSTRG.255.1	12787
NM_032004	19
MSTRG.258.1	8
MSTRG.258.3	0
MSTRG.258.2	0
MSTRG.258.4	0
MSTRG.259.1	57
MSTRG.263.1	1415
NM_026014	54
MSTRG.270.1	18610
MSTRG.272.1	2
MSTRG.272.2	64
MSTRG.273.2	0
MSTRG.273.1	0
NM_021502	2
MSTRG.276.1	1
MSTRG.280.1	1680
MSTRG.280.2	7
MSTRG.280.3	0
MSTRG.278.1	14
NM_144932	0
NM_001200023	0
NM_177899	1
MSTRG.244.1	576
MSTRG.244.3	6
MSTRG.244.2	0
MSTRG.244.4	0
MSTRG.245.1	642
MSTRG.249.2	6
MSTRG.249.1	0
MSTRG.249.3	24
MSTRG.251.2	0
MSTRG.251.1	5
MSTRG.253.1	47
MSTRG.246.1	84
MSTRG.246.2	11
NM_026818	0
NM_023312	18
NM_001113346	0
NM_145596	0
NM_001286450	0
NM_001037298	13
MSTRG.264.1	4
MSTRG.265.1	2
MSTRG.260.1	0
MSTRG.261.1	6
MSTRG.266.1	39909
MSTRG.268.1	32063
NM_009698	3
MSTRG.269.1	8
NM_016722	0
NM_001193645	0
MSTRG.275.1	85
NM_001007462	1
NR_105821	0
NM_177289	0
NM_001109873	0
NM_009824	2
MSTRG.277.1	6
MSTRG.282.1	17
MSTRG.283.1	175
MSTRG.284.3	0
MSTRG.284.2	0
MSTRG.284.1	0
MSTRG.288.3	0
MSTRG.288.2	0
MSTRG.288.1	0
NM_025977	0
NM_001164614	0
NM_001290299	0
NM_144935	0
NM_025870	102
MSTRG.294.1	16940
MSTRG.296.1	0
NM_008925	0
NM_001293651	0
NM_001293650	0
MSTRG.306.2	0
MSTRG.306.1	0
MSTRG.306.3	0
MSTRG.301.1	0
MSTRG.302.1	0
NM_019659	0
NM_001168354	0
MSTRG.308.1	15
MSTRG.309.1	420
MSTRG.310.1	0
MSTRG.311.1	407
MSTRG.313.1	0
MSTRG.314.1	4
NM_031874	0
NM_001253869	0
NM_178577	0
NR_045606	0
NM_001253870	0
NM_001253868	0
NM_001253867	0
MSTRG.290.1	4
MSTRG.291.1	3
MSTRG.292.1	12
MSTRG.298.1	1
MSTRG.298.4	0
MSTRG.298.3	0
MSTRG.298.2	0
MSTRG.299.1	295
NR_132099	0
MSTRG.285.1	143
MSTRG.287.1	83
NM_010149	16
NM_023622	0
NM_029939	0
NM_001163787	0
MSTRG.304.1	0
MSTRG.304.2	0
MSTRG.304.3	0
MSTRG.304.4	0
NM_010487	1
NM_177318	0
NM_001310759	0
NR_030448	0
NM_010605	0
NM_008026	8
MSTRG.312.1	15
NM_138604	0
NM_001290536	0
NM_001290537	0
NM_138606	3
NM_001083937	0
NM_078484	0
MSTRG.328.1	11411
MSTRG.329.1	144
NR_132589	0
NM_011591	0
NM_001313693	0
NM_013892	0
MSTRG.333.1	639
MSTRG.334.1	99
MSTRG.335.1	191
MSTRG.335.2	0
MSTRG.340.1	6160
MSTRG.338.1	5
MSTRG.343.1	22
MSTRG.343.2	0
NR_131207	0
MSTRG.353.1	4
MSTRG.353.2	4
MSTRG.355.1	421
MSTRG.356.1	251
MSTRG.356.2	5
MSTRG.356.4	1
MSTRG.356.3	0
MSTRG.356.5	59
MSTRG.356.7	0
MSTRG.356.6	8
MSTRG.356.10	0
MSTRG.356.12	0
MSTRG.356.8	31
MSTRG.356.9	0
MSTRG.356.11	0
MSTRG.356.13	0
MSTRG.356.15	0
MSTRG.356.14	0
NM_009767	0
NM_009440	0
NR_002844	7
MSTRG.347.1	2
MSTRG.348.1	0
MSTRG.349.1	1
MSTRG.350.1	2
NR_015508	0
NR_033398	0
NR_037298	0
MSTRG.316.1	11590
MSTRG.317.1	39
MSTRG.318.3	0
MSTRG.318.2	0
MSTRG.318.1	16
MSTRG.320.1	27
MSTRG.325.1	1148
MSTRG.325.2	93
MSTRG.325.3	0
NM_019478	0
NM_001252528	0
NM_001252529	0
MSTRG.331.1	11549
MSTRG.322.1	0
MSTRG.323.1	0
NM_181548	0
NM_010413	0
NM_001130416	0
NM_008089	14
MSTRG.341.1	39
MSTRG.336.1	14
NM_027227	2
NM_001290716	0
NM_011514	0
MSTRG.352.1	18
NR_015505	8
MSTRG.346.2	0
MSTRG.346.1	2
