Geneid	G1E_rep1
NM_001024952	9
NM_080844	0
MSTRG.7.1	7
MSTRG.8.1	8
MSTRG.1.1	10
MSTRG.9.1	18
MSTRG.26.1	4
MSTRG.27.1	18
NR_002840	9
NR_028543	0
MSTRG.20.2	0
MSTRG.20.1	6
NR_131029	0
NR_131030	0
NR_131028	0
NM_001159930	0
MSTRG.22.1	112
MSTRG.23.1	245
MSTRG.31.1	19
MSTRG.32.1	213
MSTRG.32.2	0
MSTRG.33.1	70
MSTRG.34.1	61
NM_173424	1
MSTRG.28.1	1
MSTRG.28.2	0
MSTRG.28.3	0
NM_172644	4
MSTRG.3.1	671
MSTRG.4.1	3
MSTRG.5.1	3
NM_001039482	4
MSTRG.24.1	0
NM_199028	7
MSTRG.11.1	375
NM_009846	87
NR_033558	0
MSTRG.14.1	105
MSTRG.14.2	1405
MSTRG.16.1	225
MSTRG.17.1	166
MSTRG.18.1	111
MSTRG.6.1	104
NM_026411	2
MSTRG.12.1	22681
MSTRG.37.1	2
MSTRG.39.1	269
NM_030093	5
MSTRG.41.2	0
MSTRG.41.1	2
MSTRG.41.3	0
MSTRG.42.1	0
MSTRG.42.2	0
MSTRG.43.1	0
MSTRG.43.2	0
NM_010822	2
MSTRG.46.1	5053
NM_010405	0
NM_001083955	28
NM_001033981	4
NM_175000	0
NM_177364	0
NM_172799	0
MSTRG.47.1	19
NM_008267	25
MSTRG.59.3	61
MSTRG.59.4	0
MSTRG.59.1	18
MSTRG.59.2	0
NR_108029	68
NR_037977	0
NR_029721	0
NM_008270	0
NM_010461	0
NM_010460	1
MSTRG.62.1	0
MSTRG.62.2	0
MSTRG.62.3	3
NM_008374	0
NM_001134458	0
MSTRG.36.1	1857
NM_010117	0
NM_001291818	0
MSTRG.45.1	0
MSTRG.45.2	2
NR_104306	0
NM_181569	0
NM_001284360	0
NM_001284359	0
MSTRG.52.1	1
MSTRG.52.5	0
MSTRG.52.3	3
MSTRG.52.2	0
MSTRG.52.4	273
MSTRG.52.7	0
MSTRG.52.6	0
NM_001271018	0
MSTRG.48.1	11092
MSTRG.50.1	71
MSTRG.60.1	502
MSTRG.55.1	171
MSTRG.56.1	394
MSTRG.58.1	18
NR_131758	2
MSTRG.63.1	6
NM_001177354	77
NR_003368	0
NR_132747	0
NR_132746	0
MSTRG.68.1	1
MSTRG.69.1	5
MSTRG.70.1	11
MSTRG.71.1	99
NM_010463	0
NM_001024842	1
NM_010462	0
NR_029722	0
MSTRG.77.1	154
NM_008272	9
MSTRG.78.2	140
NM_010466	17
MSTRG.81.1	7
NM_010465	24
MSTRG.80.1	11
NM_175730	20
NR_030526	21
MSTRG.89.1	6
NM_013553	68
MSTRG.92.1	39
MSTRG.65.3	0
MSTRG.65.2	0
MSTRG.65.1	0
MSTRG.66.1	4
NR_047528	0
MSTRG.73.1	8
MSTRG.79.1	1793
MSTRG.74.1	1
MSTRG.75.1	1516
MSTRG.82.2	0
MSTRG.82.1	0
MSTRG.82.3	0
MSTRG.82.5	0
MSTRG.82.4	5
MSTRG.82.6	0
MSTRG.87.1	1980
MSTRG.88.1	44
MSTRG.90.1	21
MSTRG.85.1	100
MSTRG.84.1	82
MSTRG.91.1	89
MSTRG.95.1	758
MSTRG.97.1	8
MSTRG.97.2	217
MSTRG.93.1	132
NR_045743	0
MSTRG.94.1	46
NM_007757	634
NM_171826	0
NM_001252451	0
NM_001252450	0
NM_172469	0
MSTRG.108.1	142
MSTRG.110.1	249
MSTRG.111.1	24
MSTRG.112.1	41
MSTRG.113.1	20066
MSTRG.104.1	1
NM_001271687	0
NM_001271690	0
NM_001271692	0
NM_001271694	0
NM_019664	0
NM_001271695	0
NM_001271693	0
NM_001271691	0
NM_001271689	0
NM_001039057	0
NM_001039056	0
MSTRG.106.1	181
MSTRG.107.1	9
MSTRG.98.1	0
MSTRG.99.1	0
NM_001033404	1
NM_175011	0
MSTRG.100.1	68667
NM_001162955	0
MSTRG.103.1	226
NM_147001	0
NM_009821	0
NM_001111023	0
NM_001111022	0
NM_001111021	0
NM_001302154	0
NM_001302153	0
NM_133659	0
NM_001302183	0
NM_001302179	0
NM_001302152	0
MSTRG.115.1	1
NM_178652	0
NM_001271631	0
NM_001271630	0
NM_001145920	0
NM_009820	0
NM_001271627	0
NM_001146038	0
MSTRG.116.1	445
NM_029257	1
NM_010721	38
MSTRG.122.1	31
MSTRG.122.2	10
MSTRG.124.1	305
MSTRG.124.2	0
MSTRG.126.1	851
NM_177115	0
MSTRG.119.1	27
MSTRG.120.1	5
MSTRG.123.1	2
NM_008275	0
NM_008274	0
NR_073086	0
NM_008273	0
NM_013554	0
NM_013555	0
MSTRG.129.1	16
MSTRG.129.2	4
NM_010468	0
NM_001290731	7
NM_008276	0
NM_001290730	0
NM_010469	0
NR_029566	0
NR_110447	0
NM_010467	0
NM_001077514	0
NM_011393	0
NM_001077515	0
MSTRG.128.1	0
MSTRG.137.1	229
MSTRG.138.1	396
MSTRG.140.1	5
MSTRG.139.1	3
NM_007967	0
NR_027899	0
MSTRG.131.2	13
MSTRG.131.3	113
MSTRG.134.1	987
MSTRG.135.1	13
NR_110445	1
NM_001177785	0
NM_001177787	0
NM_009851	0
NM_001177786	0
NM_001039151	0
NM_001039150	0
NM_001111026	0
NM_001111027	0
NM_009822	0
MSTRG.142.1	909
MSTRG.142.2	1
MSTRG.142.3	0
NM_001304555	0
NM_009185	0
NM_001304559	0
NM_001304553	0
NM_001304551	0
NM_011527	14
MSTRG.150.2	47
NM_001287388	0
MSTRG.152.1	1
NM_026018	0
NM_001164558	0
NM_001164557	0
NR_131922	2
NM_025647	17
MSTRG.144.1	340
MSTRG.145.1	13
MSTRG.146.1	373
MSTRG.151.1	42554
MSTRG.153.1	1008
MSTRG.154.1	2865
MSTRG.149.2	0
MSTRG.149.1	0
NM_001003947	0
MSTRG.155.1	0
MSTRG.155.3	0
NM_009141	2
NM_023785	0
NM_019932	1
NM_203320	3
NM_011339	0
MSTRG.162.1	0
MSTRG.166.1	1721
