Geneid	MK_rep1
NM_001024952	0
NM_080844	0
MSTRG.7.1	27
MSTRG.8.1	40
MSTRG.1.1	4
MSTRG.9.1	0
MSTRG.26.1	0
MSTRG.27.1	5
NR_002840	15
NR_028543	0
MSTRG.20.2	0
MSTRG.20.1	0
NR_131029	0
NR_131030	0
NR_131028	0
NM_001159930	0
MSTRG.22.1	119
MSTRG.23.1	119
MSTRG.31.1	0
MSTRG.32.1	48
MSTRG.32.2	0
MSTRG.33.1	15
MSTRG.34.1	79
NM_173424	0
MSTRG.28.1	0
MSTRG.28.2	0
MSTRG.28.3	0
NM_172644	0
MSTRG.3.1	173
MSTRG.4.1	0
MSTRG.5.1	14
NM_001039482	10
MSTRG.24.1	0
NM_199028	1
MSTRG.11.1	531
NM_009846	0
NR_033558	0
MSTRG.14.1	29
MSTRG.14.2	210
MSTRG.16.1	45
MSTRG.17.1	265
MSTRG.18.1	55
MSTRG.6.1	119
NM_026411	16
MSTRG.12.1	79
MSTRG.37.1	0
MSTRG.39.1	3
NM_030093	0
MSTRG.41.2	0
MSTRG.41.1	9
MSTRG.41.3	1
MSTRG.42.1	1
MSTRG.42.2	0
MSTRG.43.1	8
MSTRG.43.2	0
NM_010822	3
MSTRG.46.1	808
NM_010405	0
NM_001083955	54
NM_001033981	0
NM_175000	0
NM_177364	0
NM_172799	0
MSTRG.47.1	0
NM_008267	0
MSTRG.59.3	0
MSTRG.59.4	0
MSTRG.59.1	0
MSTRG.59.2	0
NR_108029	0
NR_037977	0
NR_029721	0
NM_008270	0
NM_010461	0
NM_010460	0
MSTRG.62.1	0
MSTRG.62.2	0
MSTRG.62.3	0
NM_008374	0
NM_001134458	0
MSTRG.36.1	1375
NM_010117	0
NM_001291818	0
MSTRG.45.1	0
MSTRG.45.2	0
NR_104306	0
NM_181569	0
NM_001284360	0
NM_001284359	0
MSTRG.52.1	0
MSTRG.52.5	0
MSTRG.52.3	6
MSTRG.52.2	0
MSTRG.52.4	165
MSTRG.52.7	0
MSTRG.52.6	0
NM_001271018	0
MSTRG.48.1	2
MSTRG.50.1	0
MSTRG.60.1	2
MSTRG.55.1	2
MSTRG.56.1	567
MSTRG.58.1	0
NR_131758	0
MSTRG.63.1	0
NM_001177354	16
NR_003368	0
NR_132747	0
NR_132746	0
MSTRG.68.1	46
MSTRG.69.1	132
MSTRG.70.1	2
MSTRG.71.1	279
NM_010463	0
NM_001024842	0
NM_010462	0
NR_029722	0
MSTRG.77.1	0
NM_008272	0
MSTRG.78.2	0
NM_010466	0
MSTRG.81.1	0
NM_010465	0
MSTRG.80.1	0
NM_175730	0
NR_030526	0
MSTRG.89.1	0
NM_013553	0
MSTRG.92.1	17
MSTRG.65.3	0
